type,percent_dead,viab,nb_CTL,time,legend,date
APC,18.332870630710783,81.66712936928921,2,48,APC$^{Min\\+}$,220719
APC,9.007169938024223,90.99283006197578,6,48,APC$^{Min\\+}$,220719
APC,28.6931250435651,71.3068749564349,11,48,APC$^{Min\\+}$,220719
APC,35.262883277562715,64.73711672243729,4,48,APC$^{Min\\+}$,220719
APC,94.74334044829278,5.256659551707216,7,48,APC$^{Min\\+}$,220719
APC,26.056328933297507,73.94367106670249,5,48,APC$^{Min\\+}$,220719
APC,63.513632879392,36.486367120608,20,48,APC$^{Min\\+}$,220719
APC,70.02225812175425,29.97774187824575,5,48,APC$^{Min\\+}$,220719
WT,26.082531558969645,73.91746844103035,8,48,CTRL,220719
WT,15.461558038068643,84.53844196193135,1,48,CTRL,220719
WT,60.261599191124525,39.73840080887548,7,48,CTRL,220719
WT,34.34601794759842,65.65398205240157,5,48,CTRL,220719
APC,5.337132415632239,94.66286758436776,1,48,APC$^{Min\\+}$,220719
WT,49.053477656952296,50.9465223430477,5,48,CTRL,220719
WT,58.00498472578438,41.99501527421562,4,48,CTRL,220719
WT,49.72989553534651,50.27010446465349,3,48,CTRL,220719
WT,20.657013974476275,79.34298602552373,1,48,CTRL,220719
WT,64.99050775584394,35.009492244156064,10,48,CTRL,220719
WT,23.33712689508337,76.66287310491663,4,48,CTRL,220719
control,1.7184830237557187,98.28151697624428,0,48,no CTL,220719
WT,10.400460862517772,89.59953913748222,1,48,CTRL,220719
WT,39.727547239920966,60.27245276007904,11,48,CTRL,220719
WT,6.3704079633913935,93.6295920366086,1,48,CTRL,220719
APC,39.3416535900643,60.6583464099357,5,48,APC$^{Min\\+}$,220719
control,4.251527807045015,95.74847219295498,0,48,no CTL,220719
control,1.8571240957600024,98.14287590424,0,48,no CTL,220719
control,8.704157677755237,91.29584232224477,0,48,no CTL,220719
WT,56.22969421809161,43.77030578190839,4,48,CTRL,220719
WT,44.3171841659244,55.6828158340756,6,48,CTRL,220719
WT,8.675125555424453,91.32487444457554,1,48,CTRL,220719
control,1.3709617687441698,98.62903823125583,0,48,no CTL,220719
