mean_vel,well,part,date,type
1.0670908947934539,0.0,13318.0,220922,wt
3.1521267309883285,1.0,14678.0,220922,wt
1.2742736778267914,2.0,16041.0,220922,wt
2.161424012255548,2.0,13661.0,220922,wt
1.6582647693812858,0.0,13314.0,220922,wt
0.7865166007945548,2.0,13669.0,220922,wt
0.6322746813446075,0.0,13299.0,220922,wt
2.7807950543455497,3.0,17215.0,220922,wt
2.970970449259556,2.0,13665.0,220922,wt
0.4146508338037823,2.0,13660.0,220922,wt
3.0526912913744404,4.0,17210.0,220922,wt
2.074745240344053,0.0,13293.0,220922,wt
1.0584851492739142,0.0,15394.0,220922,wt
0.21982164591420855,0.0,13301.0,220922,wt
0.2925157646341538,5.0,13529.0,220922,wt
2.1641695982138334,0.0,13292.0,220922,wt
1.600268322813393,2.0,13677.0,220922,wt
3.278551055107366,1.0,12860.0,220922,wt
2.075844172976577,2.0,13664.0,220922,wt
1.9679523634405267,0.0,13297.0,220922,wt
1.8331035113191627,2.0,13663.0,220922,wt
1.3160872800254622,0.0,13298.0,220922,wt
2.0300429905988917,2.0,16004.0,220922,wt
1.7263249212400888,2.0,13702.0,220922,wt
1.2266881173076793,2.0,13701.0,220922,wt
2.214953142952508,2.0,13688.0,220922,wt
0.5635645398996141,0.0,13290.0,220922,wt
1.142321862865196,2.0,13703.0,220922,wt
2.4637268108679344,1.0,12878.0,220922,wt
2.510864062824545,2.0,13686.0,220922,wt
1.3491781978773076,2.0,13685.0,220922,wt
0.3635085568121958,6.0,13501.0,220922,wt
2.717318297111617,2.0,13696.0,220922,wt
1.9153013351546662,2.0,13691.0,220922,wt
0.9610308573253075,0.0,15032.0,220922,wt
0.5778177593398189,0.0,13303.0,220922,wt
0.8475462739693919,2.0,13697.0,220922,wt
1.1465654469597641,2.0,13700.0,220922,wt
0.6669594974296323,0.0,15289.0,220922,wt
4.531185703156576,7.0,13440.0,220922,wt
0.39189255079153246,2.0,13706.0,220922,wt
0.46810724750898886,5.0,13533.0,220922,wt
0.8286508512423069,2.0,13712.0,220922,wt
2.0525305335791035,2.0,13710.0,220922,wt
2.5810221398023345,2.0,13711.0,220922,wt
2.0542301702564467,2.0,13708.0,220922,wt
1.1578167768708771,2.0,16011.0,220922,wt
3.2482849505186704,3.0,17249.0,220922,wt
1.8520263554202687,2.0,13714.0,220922,wt
6.128345027765678,3.0,17257.0,220922,wt
3.484063552833158,2.0,13718.0,220922,wt
1.2779214253510751,2.0,13716.0,220922,wt
1.0013874533724103,0.0,15316.0,220922,wt
2.1675658885691234,2.0,13720.0,220922,wt
2.3015217185143695,2.0,13722.0,220922,wt
2.7347238048632483,8.0,13118.0,220922,wt
5.6547780671205015,9.0,13982.0,220922,wt
0.3443976143017756,10.0,16670.0,220922,wt
1.5656168265275785,0.0,13329.0,220922,wt
3.723457464534113,11.0,13911.0,220922,wt
3.770350649744146,2.0,13730.0,220922,wt
5.636554131473543,12.0,14266.0,220922,wt
4.593316621576085,3.0,14423.0,220922,wt
0.9191456030727175,7.0,13442.0,220922,wt
6.731724845278947,11.0,16254.0,220922,wt
4.884581581149145,2.0,13733.0,220922,wt
1.7630939469548916,2.0,13736.0,220922,wt
1.1527165270641944,2.0,13734.0,220922,wt
1.8504735748503327,0.0,15306.0,220922,wt
3.489618496255527,10.0,16682.0,220922,wt
3.177777777777778,3.0,14429.0,220922,wt
