caspase_signal,time,position,date
1.0290336176237989,24,0,221011
0.905753774304856,24,1,221011
0.7403005988475344,24,2,221011
1.453013554695044,24,3,221011
1.2467806765159106,24,4,221011
1.0531796149612214,24,5,221011
0.3691794255633576,24,6,221011
0.586851941382971,24,7,221011
2.331830733799757,24,8,221011
1.1009197688110952,24,9,221011
0.6712943806797381,24,10,221011
0.8615759906224055,24,11,221011
1.047779141357369,24,12,221011
1.9431712219737285,24,13,221011
1.427067378177775,24,14,221011
3.044096369591189,24,15,221011
2.0062050056919305,24,16,221011
1.5112731480218096,24,17,221011
0.9471366794718392,24,18,221011
2.2197223934970984,24,19,221011
1.8000616255222432,24,20,221011
1.847917707590384,24,21,221011
1.1704030774234764,24,22,221011
0.6716497095169701,24,23,221011
1.1138772045287626,24,24,221011
0.4480810802807308,24,25,221011
1.1292020219083383,24,26,221011
0.3744711244391481,24,27,221011
6.228849742243588,24,28,221011
1.1556856238637698,24,29,221011
1.8919816162249912,24,30,221011
1.546230972715952,24,31,221011
0.5519958663595225,24,32,221011
1.963220384673988,24,33,221011
1.3638569158896512,24,34,221011
1.483227929133592,24,35,221011
7.093994934285315,24,36,221011
1.1520961155126923,24,37,221011
2.535533051773355,24,38,221011
1.6680583481293692,24,39,221011
1.7224527431996313,24,40,221011
1.6557828789879585,24,41,221011
2.1141549771601347,24,42,221011
6.79218873739203,24,43,221011
4.279453176808294,48,0,221011
1.7860937532023589,48,1,221011
2.963872776613121,48,2,221011
2.1834315788450605,48,3,221011
4.370922450013723,48,4,221011
3.779728843068088,48,5,221011
1.770191412386009,48,6,221011
2.0424246047489905,48,7,221011
5.056135987014,48,8,221011
2.4917524109106965,48,9,221011
2.6621968053638336,48,10,221011
2.155819482111128,48,11,221011
1.81509935621356,48,12,221011
6.483797252392585,48,13,221011
5.192964208725119,48,14,221011
4.660290290994271,48,15,221011
5.75713259118244,48,16,221011
3.0612180887878706,48,17,221011
2.817122680599977,48,18,221011
4.008644621980937,48,19,221011
3.2390597238458176,48,20,221011
4.618011995959968,48,21,221011
