type,date,well,particle,P_inv,pos,arrest_percent,max_obs_n
apc,220901.0,14.0,62.0,-0.5486584610222099,0.3380281690140845,33.80281690140845,5
apc,220901.0,15.0,63.0,-1.0122259078898361,0.5222222222222223,52.22222222222223,6
apc,220901.0,15.0,65.0,-1.4200721178162758,0.425531914893617,42.5531914893617,6
apc,220901.0,15.0,66.0,0.8930729961440029,1.0,100.0,6
apc,220901.0,15.0,67.0,0.6092649723883001,0.9259259259259259,92.5925925925926,6
apc,220901.0,15.0,68.0,-0.46637235654896286,0.3373493975903614,33.734939759036145,6
apc,220901.0,15.0,69.0,0.05382754097897753,0.6538461538461539,65.38461538461539,6
apc,220901.0,15.0,70.0,0.6654858336096371,1.0,100.0,6
apc,220901.0,15.0,71.0,-0.20326299773623394,0.3333333333333333,33.33333333333333,6
apc,220901.0,17.0,72.0,-2.525630133589027,0.04516129032258064,4.516129032258064,5
apc,220901.0,17.0,73.0,-1.4384749810185158,0.0,0.0,5
apc,220901.0,17.0,74.0,-3.5852242593201997,0.0,0.0,5
apc,220901.0,17.0,76.0,0.5935055158765647,0.6451612903225806,64.51612903225806,5
apc,220901.0,17.0,77.0,0.2539970329081593,0.7407407407407407,74.07407407407408,5
apc,220901.0,17.0,78.0,-0.4442659247841518,0.1794871794871795,17.94871794871795,5
apc,220901.0,17.0,79.0,1.6009488891970214,1.0,100.0,5
apc,220901.0,17.0,80.0,0.5182952030535664,0.9523809523809523,95.23809523809523,5
apc,220901.0,17.0,81.0,1.1004819242156807,1.0,100.0,5
apc,220901.0,18.0,83.0,0.5277988511324938,0.832258064516129,83.22580645161291,12
apc,220901.0,18.0,86.0,1.0942225426020078,1.0,100.0,12
apc,220901.0,18.0,89.0,-0.15834171988847598,0.48936170212765956,48.93617021276596,12
apc,220901.0,18.0,91.0,1.0343101451553818,0.8604651162790697,86.04651162790698,12
apc,220901.0,18.0,92.0,1.8228170441082774,1.0,100.0,12
apc,220901.0,18.0,93.0,1.2558499030202848,1.0,100.0,12
apc,220901.0,18.0,94.0,0.3297133327903994,0.6,60.0,12
apc,220901.0,18.0,97.0,1.5275572710398357,0.9714285714285714,97.14285714285714,12
apc,220901.0,18.0,99.0,-1.548381320353881,0.21212121212121213,21.21212121212121,12
apc,220901.0,18.0,100.0,0.6321740158395212,0.78125,78.125,12
apc,220901.0,18.0,102.0,0.18408028142223212,0.72,72.0,12
apc,220901.0,18.0,103.0,0.15511805747880278,0.6,60.0,12
apc,220901.0,18.0,104.0,0.7441883806752192,1.0,100.0,12
apc,220901.0,18.0,105.0,0.11905854583359539,0.75,75.0,12
apc,220901.0,18.0,106.0,-0.24869905425693217,0.07692307692307693,7.6923076923076925,12
apc,220901.0,20.0,107.0,0.415109061077653,0.5754189944134078,57.54189944134078,2
apc,220901.0,20.0,108.0,1.5290001093465142,1.0,100.0,2
apc,220901.0,21.0,109.0,0.3755991569988335,0.5,50.0,4
apc,220901.0,21.0,110.0,-1.62712127053059,0.2028985507246377,20.28985507246377,4
apc,220901.0,21.0,111.0,1.3878086420015125,1.0,100.0,4
apc,220901.0,21.0,112.0,0.04493284340167715,0.6578947368421053,65.78947368421053,4
apc,220901.0,21.0,113.0,-0.4170722844815401,0.5454545454545454,54.54545454545454,4
apc,220901.0,21.0,114.0,-0.08393680049748665,0.375,37.5,4
apc,220901.0,25.0,115.0,-0.040005383027743625,0.6170212765957447,61.702127659574465,7
apc,220901.0,25.0,116.0,1.1505071293448839,1.0,100.0,7
apc,220901.0,25.0,117.0,0.4564557047587335,0.5777777777777777,57.77777777777777,7
apc,220901.0,25.0,118.0,1.5208014328291386,1.0,100.0,7
apc,220901.0,25.0,119.0,1.2378318667486212,1.0,100.0,7
apc,220901.0,25.0,120.0,0.22535284989589796,0.7857142857142857,78.57142857142857,7
apc,220901.0,25.0,121.0,-1.3660503068055274,0.0,0.0,7
apc,220901.0,25.0,122.0,-0.33675184501882455,0.3333333333333333,33.33333333333333,7
apc,220901.0,25.0,123.0,1.2658222087071995,1.0,100.0,7
apc,220922.0,2.0,173.0,-0.11989848909813663,0.5652173913043478,56.52173913043478,6
apc,220922.0,2.0,174.0,-0.906441495409065,0.25609756097560976,25.609756097560975,6
apc,220922.0,2.0,175.0,1.2967406503806256,1.0,100.0,6
apc,220922.0,2.0,176.0,0.5933602917337772,0.9523809523809523,95.23809523809523,6
apc,220922.0,2.0,177.0,0.8140278234489411,1.0,100.0,6
apc,220922.0,2.0,178.0,0.06722437681514014,0.6428571428571429,64.28571428571429,6
apc,220922.0,2.0,179.0,0.9675917668779712,1.0,100.0,6
apc,220922.0,2.0,180.0,1.3639388603677514,1.0,100.0,6
apc,220922.0,2.0,181.0,0.3340299980907307,1.0,100.0,6
apc,220922.0,2.0,182.0,1.8321961956542376,1.0,100.0,6
apc,220922.0,2.0,183.0,1.368022206088119,1.0,100.0,6
apc,220922.0,8.0,184.0,-0.2887549933271072,0.41361256544502617,41.361256544502616,4
apc,220922.0,8.0,185.0,1.0137038720409366,0.8,80.0,4
apc,220922.0,8.0,186.0,1.3192857117016707,0.9876543209876543,98.76543209876543,4
apc,220922.0,8.0,188.0,-0.4900152223881457,0.4782608695652174,47.82608695652174,4
apc,220922.0,8.0,189.0,-1.0412567335053327,0.027777777777777776,2.7777777777777777,4
apc,220922.0,8.0,190.0,-0.625551852465483,0.4732142857142857,47.32142857142857,4
apc,220922.0,27.0,192.0,0.5359089991069065,0.7320872274143302,73.20872274143302,8
apc,220922.0,27.0,193.0,0.019316683062992532,0.5936254980079682,59.36254980079681,8
apc,220922.0,27.0,194.0,0.6080663342584371,0.8,80.0,8
apc,220922.0,27.0,195.0,1.624123637889648,1.0,100.0,8
