D,Circ.,date,time,well
231.6225193673276,0.566,221025,24,54
191.09201139511512,0.833,221025,24,55
267.36915196460825,0.697,221025,48,0
241.97814831244293,0.783,221025,48,1
242.1623183533345,0.839,221025,48,2
240.4904839464252,0.869,221025,48,3
273.2262800052463,0.831,221025,48,4
218.2305200838987,0.84,221025,48,5
223.34438227741313,0.862,221025,48,6
257.20059895563475,0.832,221025,48,7
231.76559934562331,0.845,221025,48,8
278.59068509693503,0.835,221025,48,9
255.79438146913589,0.866,221025,48,10
261.42479578751585,0.863,221025,48,11
287.13796566271765,0.806,221025,48,12
227.18082275482817,0.784,221025,48,13
249.22668231096583,0.847,221025,48,14
253.60601677207669,0.699,221025,48,15
263.44259436731465,0.727,221025,48,16
254.78055117785385,0.862,221025,48,17
219.90829900800344,0.863,221025,48,18
255.81015372106043,0.843,221025,48,19
244.38382071008445,0.856,221025,48,20
248.21609694161975,0.88,221025,48,21
274.7180473672604,0.837,221025,48,22
270.5507925106932,0.784,221025,48,23
262.6995430857207,0.863,221025,48,24
258.9055610119774,0.87,221025,48,25
224.0081650777542,0.857,221025,48,26
223.26307776838703,0.869,221025,48,27
223.67471614518556,0.873,221025,48,28
257.35271304690076,0.866,221025,48,29
180.07641619332713,0.872,221025,48,30
240.39735658930175,0.861,221025,48,31
241.48494924591571,0.837,221025,48,32
208.60621460688807,0.809,221025,48,33
232.80831460404363,0.87,221025,48,34
258.89231495093514,0.875,221025,48,35
239.51210410333508,0.873,221025,48,36
279.96958893102726,0.875,221025,48,37
257.8421610706086,0.872,221025,48,38
193.40678551524175,0.852,221025,48,39
211.65046041843408,0.86,221025,48,40
216.98552047673095,0.879,221025,48,41
221.9645171977164,0.761,221025,48,42
163.88589909295547,0.831,221025,48,43
220.61808573338993,0.853,221025,48,44
251.11277730310172,0.866,221025,48,45
244.8695335433001,0.878,221025,48,46
254.54132279201377,0.712,221025,48,47
200.8485241789572,0.825,221025,48,48
213.6955132205778,0.845,221025,48,49
223.24319882907204,0.872,221025,48,50
205.0806009725136,0.868,221025,48,51
246.76358932317495,0.835,221025,48,52
245.26464929228504,0.842,221025,48,53
236.51345497403727,0.762,221025,48,54
197.1433272425621,0.864,221025,48,55
