D,Circ.,date,time,well
238.6583798392249,0.411,221011,24,0
254.5632854126457,0.559,221011,24,1
295.5647579735469,0.649,221011,24,2
159.31503103274366,0.865,221011,24,3
271.5319351670811,0.5,221011,24,4
185.75019563293927,0.853,221011,24,5
252.66646051983616,0.657,221011,24,6
266.7119000831946,0.938,221011,24,7
224.16433470605023,0.454,221011,24,8
232.3844830816032,0.71,221011,24,9
202.0657418526292,0.878,221011,24,10
206.2154095544197,0.841,221011,24,11
179.1725703959886,0.921,221011,24,12
217.94640253308893,0.938,221011,24,13
243.1494571170033,0.803,221011,24,14
286.8535682211455,0.904,221011,24,15
261.0326892592374,0.761,221011,24,16
267.51540140085905,0.793,221011,24,17
274.115393204426,0.586,221011,24,18
208.0859989147496,0.915,221011,24,19
244.34291781539633,0.448,221011,24,20
202.88098019797567,0.741,221011,24,21
222.52664251118216,0.938,221011,24,22
281.72315902990516,0.625,221011,24,23
274.309722821612,0.783,221011,24,24
161.18865398161776,0.635,221011,24,25
157.31993702669496,0.872,221011,24,26
269.864927107259,0.659,221011,24,27
240.3710131904791,0.938,221011,24,28
297.22883003827496,0.365,221011,24,29
288.5242671337768,0.727,221011,24,30
217.09836299104887,0.432,221011,24,31
219.00825463806652,0.637,221011,24,32
148.6293140565713,0.868,221011,24,33
268.7280507374465,0.594,221011,48,0
256.9882921365798,0.836,221011,48,1
289.7026085534218,0.731,221011,48,2
177.60450799105385,0.916,221011,48,3
300.2690979483357,0.578,221011,48,4
194.9910604677792,0.942,221011,48,5
260.0791862675226,0.914,221011,48,6
296.3623815609916,0.965,221011,48,7
233.6910086455381,0.882,221011,48,8
254.8048111356036,0.963,221011,48,9
218.92285276148112,0.938,221011,48,10
224.31794995660113,0.966,221011,48,11
206.88930342382423,0.948,221011,48,12
253.932030718172,0.728,221011,48,13
264.6307193850132,0.874,221011,48,14
301.7854333065149,0.967,221011,48,15
265.06948088334764,0.768,221011,48,16
274.0623014610064,0.967,221011,48,17
269.88185970171895,0.895,221011,48,18
232.2486129431064,0.947,221011,48,19
267.5626995100278,0.533,221011,48,20
222.35344957128456,0.874,221011,48,21
261.62961541123906,0.961,221011,48,22
273.52926486244877,0.755,221011,48,23
284.58107367948736,0.77,221011,48,24
170.8870066042449,0.85,221011,48,25
