type,percent_dead,date,nb_CTL,time,well
control,1.3709617687441698,220719,0,48,0
control,1.7184830237557187,220719,0,48,1
control,1.8571240957600024,220719,0,48,2
control,4.251527807045015,220719,0,48,3
control,8.704157677755237,220719,0,48,4
control,0.0,220615,0,48,0
control,6.351204438379567,221011,0,48,0
control,5.896028632279396,221011,0,48,1
control,4.081338440996856,221011,0,48,2
control,4.025264795949819,221011,0,48,3
control,5.364555800255333,221011,0,48,4
control,5.240800757061264,221011,0,48,5
control,12.72195008270276,221011,0,48,6
control,5.257123505489186,221011,0,48,7
control,2.850487372516466,221011,0,48,8
control,2.632606619600841,221011,0,48,9
control,1.727653811011011,221011,0,48,10
control,3.480133932830683,221011,0,48,11
control,3.189236316471616,221011,0,48,12
control,2.8210165841373738,221011,0,48,13
control,6.060899587605573,221011,0,48,14
control,5.224327515294805,221011,0,48,15
control,8.246174628656975,221011,0,48,16
control,6.107714537457903,221011,0,48,17
control,3.663104683760536,221011,0,48,18
control,3.37557850035701,221011,0,48,19
control,4.970336706487334,221011,0,48,20
control,4.262872823173116,221011,0,48,21
control,3.653501003972084,221011,0,48,22
control,3.96093070809054,221011,0,48,23
control,5.594332874261203,221011,0,48,24
control,4.262847030948578,221011,0,48,25
control,5.410675004269106,221011,0,48,26
control,3.533334454361154,221011,0,48,27
control,3.5408913155386483,221011,0,48,28
control,20.07145862526891,221011,0,48,29
control,3.87281930895382,221011,0,48,30
control,4.046056248562317,221011,0,48,31
control,3.964399952035463,221011,0,48,32
control,3.7154526876959344,221011,0,48,33
control,4.2987007840931,221025,0,24,0
control,2.882576546952045,221025,0,24,1
control,3.673861109515935,221025,0,24,2
control,5.384713987609445,221025,0,24,3
control,7.97236421217489,221025,0,24,4
control,4.156912046332461,221025,0,24,5
control,4.128355231785835,221025,0,24,6
control,4.777429787958106,221025,0,24,7
control,2.0541888778631576,221025,0,24,8
control,12.782353003073272,221025,0,24,9
control,9.56105992817984,221025,0,24,10
control,6.42199572369781,221025,0,24,11
control,7.6806128188314045,221025,0,24,12
control,4.192884141504559,221025,0,24,13
control,6.263204136210134,221025,0,24,14
control,4.506297682379991,221025,0,24,15
control,1.275148958955291,221025,0,24,16
control,4.827079218665294,221025,0,24,17
control,10.42648969863805,221025,0,24,18
control,6.284560787120733,221025,0,24,19
control,3.334673243749472,221025,0,24,20
control,2.743346503586574,221025,0,24,21
control,4.851460769669667,221025,0,24,22
control,6.111118834938536,221025,0,24,23
control,2.555703438085496,221025,0,24,24
control,3.25642192707735,221025,0,24,25
control,4.544909483211486,221025,0,24,26
control,5.487904207086472,221025,0,24,27
control,3.864089943239593,221025,0,24,28
control,5.556584203963474,221025,0,24,29
control,7.71464493811994,221025,0,24,30
control,8.524315528698681,221025,0,24,31
control,11.657052364186866,221025,0,24,32
control,3.149882142302729,221025,0,24,33
control,13.375859046183333,221025,0,24,34
control,3.232372552221704,221025,0,24,35
control,4.018020779878572,221025,0,24,36
control,3.186686488662532,221025,0,24,37
control,2.15543225815165,221025,0,24,38
control,9.229704332272409,221025,0,24,39
control,8.332476393837295,221025,0,24,40
control,4.793054474520934,221025,0,24,41
control,4.562985590938891,221025,0,24,42
control,3.09194915678049,221025,0,24,43
control,4.507289747689398,221025,0,24,44
control,4.382046615352707,221025,0,48,45
control,6.425679301206233,221025,0,48,46
control,2.874613415952312,221025,0,48,47
control,4.353074763532641,221025,0,48,48
control,9.13026715096489,221025,0,48,49
control,2.909500796222832,221025,0,48,50
control,8.394188718004798,221025,0,48,51
control,5.424906132927278,221025,0,48,52
control,6.404348093693679,221025,0,48,53
control,5.76491741317402,221025,0,48,54
control,6.611238435768311,221025,0,48,55
control,4.00157944937217,221025,0,48,56
control,5.274227141445155,221025,0,48,57
control,5.590519665187252,221025,0,48,58
control,2.552032582080765,221025,0,48,59
control,5.116977898049196,221025,0,48,60
control,8.189404329143017,221025,0,48,61
control,5.649873808075338,221025,0,48,62
control,6.003708099920956,221025,0,48,63
control,4.934591629483003,221025,0,48,64
control,3.825350943382929,221025,0,48,65
control,5.376087812948397,221025,0,48,66
control,3.308368024388596,221025,0,48,67
control,7.2877267763419695,221025,0,48,68
control,3.9337837674721774,221025,0,48,69
control,5.351631157443036,221025,0,48,70
control,3.3101501612063067,221025,0,48,71
control,6.3313633984375794,221025,0,48,72
control,6.194249588882067,221025,0,48,73
control,6.047605218015766,221025,0,48,74
control,7.739228215519402,221025,0,48,75
control,8.726227573954937,221025,0,48,76
control,7.660809702159869,221025,0,48,77
control,9.699102973472147,221025,0,48,78
control,3.1196315647803665,221025,0,48,79
control,9.452017105406428,221025,0,48,80
control,5.7940999786344864,221025,0,48,81
control,7.7007116680699,221025,0,48,82
control,7.457149775542088,221025,0,48,83
control,4.513777227526494,221025,0,48,84
control,5.5026159491809645,221025,0,48,85
control,6.372246140941876,221025,0,48,86
control,4.564763590477751,221025,0,48,87
control,6.008508349528897,221025,0,48,88
control,3.120056174248895,221025,0,48,89
control,4.766552043409562,221025,0,48,90
control,7.911762113622908,221025,0,48,91
control,5.243044300416147,221025,0,48,92
control,4.717136749459268,221025,0,48,93
control,8.898274853940244,221025,0,48,94
control,8.992609749778257,221025,0,48,95
control,9.09256896240268,221025,0,48,96
control,6.709091517640635,221025,0,48,97
control,7.976110604748969,221025,0,48,98
control,27.805853546734426,221025,0,48,99
