type,date,percent_dead,caspase
WT,220901,32.22206512921842,Casp-
WT,220901,24.460616370078625,Casp+
WT,220901,18.465986627023582,Casp-
WT,220901,73.17307137977723,Casp+
WT,220901,53.89348150250103,Casp+
WT,220901,27.65177734622618,Casp-
WT,220901,35.44040975643642,Casp+
APC,220901,52.38054243183543,Casp+
APC,220901,24.42675675364828,Casp+
APC,220901,21.51868541156221,Casp+
APC,220901,34.812731439571344,Casp+
APC,220901,16.156111255342083,Casp-
APC,220901,17.570283011218148,Casp-
APC,220901,51.08278306017574,Casp+
APC,220901,14.49397220326336,Casp+
APC,220901,31.492544934834232,Casp+
APC,220901,23.803166296474046,Casp+
APC,220901,48.54914999869438,Casp+
APC,220901,57.952670382575874,Casp+
APC,220901,16.261644897933145,Casp+
APC,220901,56.481564402095216,Casp+
APC,220901,38.37771246828181,Casp+
APC,220901,24.99400226332509,Casp-
APC,220719,28.805162661876675,Casp+
APC,220719,19.41757100012148,Casp+
APC,220719,63.513632879392,Casp+
APC,220719,12.458291593037533,Casp+
APC,220719,25.618138345437064,Casp+
APC,220719,59.15466091348102,Casp+
APC,220719,70.02225812175425,Casp+
APC,220719,27.4919465948088,Casp+
APC,220719,9.432237583517283,Casp-
APC,220719,49.4480142754171,Casp+
APC,220719,60.874487329481816,Casp+
APC,220719,35.262883277562715,Casp-
APC,220719,28.6931250435651,Casp+
APC,220719,6.720390455012773,Casp-
APC,220719,94.74334044829278,Casp+
APC,220719,0.955079738621516,Casp-
APC,220719,4.436104318470021,Casp-
APC,220719,9.007169938024223,Casp-
APC,220719,17.244411204475224,Casp+
APC,220719,26.056328933297507,Casp+
APC,220719,10.11813030090088,Casp-
APC,220719,5.337132415632239,Casp-
APC,220719,9.68287652116178,Casp-
APC,220719,39.3416535900643,Casp+
WT,220719,34.34601794759842,Casp-
WT,220719,49.053477656952296,Casp+
WT,220719,58.00498472578438,Casp+
WT,220719,6.856477690309413,Casp+
WT,220719,49.72989553534651,Casp+
WT,220719,20.657013974476275,Casp+
WT,220719,1.3381498255261275,Casp-
WT,220719,9.63726967051036,Casp-
WT,220719,60.261599191124525,Casp+
WT,220719,23.33712689508337,Casp+
WT,220719,15.461558038068643,Casp+
WT,220719,6.3704079633913935,Casp-
WT,220719,39.727547239920966,Casp+
WT,220719,8.675125555424453,Casp-
WT,220719,44.3171841659244,Casp+
